symbol,windows,rule_alone,hmm_alone,adaptive_selector,fixed_blend
HK.00700,9,0.17361608533333894,-0.5498940373333284,-0.495511946666664,-0.18813897599999477
HK.00005,9,-0.1437767245230207,0.045725340380799034,-0.1437767245230207,-0.04902569207111082
HK.09988,9,0.1599318745220678,-0.24691821582175585,0.09333809952206179,-0.04349317064984401
HK.03690,9,-0.1518196213333334,-0.25844153066666653,-0.15419417066666616,-0.20513057599999998
HK.01299,9,-0.1924636954097724,-0.01451723675508725,-0.16202753799419345,-0.10349046608242983
HK.00941,9,-0.04969990133333259,-0.0452407123555523,-0.05573245866666548,-0.04747030684444245
HK.02318,9,-0.056073608032953214,-0.04234629299999991,-0.056073608032953214,-0.04920995051647656
HK.01211,9,-0.3476790009473803,-1.7329608833948874e-06,-0.24928242670997536,-0.17384036695413185
HK.01810,9,-0.0056197253333278565,-0.02498328479999812,-0.0056197253333278565,-0.01530150506666299
HK.09618,9,-0.0705585238503732,0.0415863258831394,-0.19366999511704006,-0.014486098983616897
HK.09888,9,0.21419273155555774,0.07002399733333733,0.1418909582222275,0.14210836444444752
